Year,DOY,HH:MM:SS,Plot_ID,EFFLUX,Tsoil_C
2009,22,15:19:07,60m,0.838,0.73
2009,22,15:31:01,60m,0.572,0.73
2009,22,15:44:45,60m,1.165,0.73
2009,22,15:57:07,60m,0.834,0.73
2009,22,16:04:58,60m,0.943,0.73
2009,37,15:14:38,60m,0.572,0.2
2009,37,15:02:42,60m,0.53,0.2
2009,37,14:52:04,60m,1.017,0.2
2009,37,14:42:51,60m,0.731,0.2
2009,37,14:31:05,60m,0.839,0.2
2009,48,16:32:33,60m,0.923,0.43
2009,48,16:41:12,60m,1.328,0.43
2009,48,16:47:49,60m,1.445,0.43
2009,48,16:57:18,60m,0.696,0.43
2009,48,17:04:19,60m,0.851,0.43
2009,64,14:21:15,60m,0.874,0.34
2009,64,14:52:00,60m,0.826,0.34
2009,64,15:00:36,60m,1.457,0.34
2009,64,15:15:38,60m,0.996,0.34
2009,141,12:05:51,A1,2.4,14.97
2009,141,12:08:19,A1,3.76,14.7
2009,141,12:11:26,A1,2.33,13.7
2009,141,12:14:07,A1,2.54,15.15
2009,141,12:24:17,B1,4,15.06
2009,141,12:27:50,B1,3.37,13.75
2009,141,12:32:14,B1,2.63,14.71
2009,141,12:38:44,B1,2.17,13.26
2009,141,13:20:10,B3,4.2,13.51
2009,141,13:23:53,B3,3.12,13.37
2009,141,13:26:51,B3,2.64,13.56
2009,141,13:30:04,B3,2.07,16.16
2009,141,13:41:14,C3,4.14,15.58
2009,141,13:44:09,C3,3.12,17.13
2009,141,13:47:59,C3,1.87,13.95
2009,141,13:51:18,C3,4.55,15.12
2009,141,13:54:13,C3,5.02,15.04
2009,141,14:16:44,60m,2.79,14.49
2009,141,14:24:42,60m,2.04,13.78
2009,141,14:29:55,60m,3.36,13.85
2009,141,14:35:01,60m,3.04,15.02
2009,141,14:38:23,60m,2.36,14.94
2009,141,14:41:30,60m,2.69,13.5
2009,141,14:47:46,60m,2.8,14.43
2009,141,14:51:04,60m,2.78,14.15
2009,161,13:27:26,60m,4.08,10.44
2009,161,13:32:28,60m,3,11.3
2009,161,13:38:28,60m,2.14,11.69
2009,161,13:42:55,60m,3.33,11.2
2009,161,13:47:05,60m,3.5,10.47
2009,161,13:53:09,60m,3.07,11
2009,161,13:57:37,60m,2.93,11.41
2009,161,14:02:38,60m,2.1,10.79
2009,161,14:27:14,A1,2.53,12.43
2009,161,14:31:04,A1,2.59,12.28
2009,161,14:34:00,A1,3.77,12.55
2009,161,14:37:15,A1,3.41,11.94
2009,161,14:43:14,B1,2.54,12.12
2009,161,14:46:16,B1,2.47,12.21
2009,161,14:50:05,B1,4.04,11.05
2009,161,14:54:26,B1,2.6,11.63
2009,161,15:04:33,B2,5.51,11.13
2009,161,15:07:43,B2,3.25,11.34
2009,161,15:11:20,B2,2.62,10.99
2009,161,15:15:06,B2,1.95,12.07
2009,161,15:26:48,C3,3.12,14.48
2009,161,15:30:21,C3,2.45,13.51
2009,161,15:33:31,C3,3.07,11.51
2009,161,15:37:25,C3,1.77,12.7
2009,161,15:46:16,D2,2.71,12.49
2009,161,15:49:31,D2,3.91,11.73
2009,161,15:53:48,D2,2.22,11.06
2009,161,15:57:39,D2,2.49,11.71
2009,161,16:03:45,D1,3.03,11.81
2009,161,16:07:37,D1,2.17,12.49
2009,161,16:10:52,D1,2.47,12.94
2009,161,16:14:05,D1,2.73,13.83
2009,169,8:55:49,60m,4.8,13.47
2009,169,9:13:42,60m,3.46,14.35
2009,169,9:22:03,60m,2.3,13.8
2009,169,9:26:06,60m,3.72,13.58
2009,169,9:32:32,60m,3.04,13.96
2009,169,9:37:46,60m,3.07,13.56
2009,169,9:43:11,60m,3.25,14.2
2009,169,9:49:40,60m,2.33,13.76
2009,174,7:51:55,A1,7.29,17.18
2009,174,8:01:49,A1,4.14,17.73
2009,174,8:05:45,A1,5.73,17.5
2009,174,8:11:42,A1,5.03,17.16
2009,174,8:21:48,B1,4.73,17.81
2009,174,8:25:49,B1,3.82,18.28
2009,174,8:30:23,B1,5.26,17.11
2009,174,8:35:20,B1,5.05,16.73
2009,174,8:47:40,B3,7.97,16.64
2009,174,8:52:19,B3,4.97,17.3
2009,174,8:57:51,B3,3.96,16.63
2009,174,9:02:52,B3,3.03,18.61
2009,174,9:17:06,C3,3.94,19.38
2009,174,9:22:41,C3,3.3,18.57
2009,174,9:28:10,C3,4.36,18.8
2009,174,9:33:38,C3,5.38,17.34
2009,174,10:18:18,D2,4.89,18.09
2009,174,10:23:35,D2,7.14,17.41
2009,174,10:31:04,D2,3.57,17.02
2009,174,10:36:49,D2,5.26,17.94
2009,174,10:43:44,D1,4.91,18.37
2009,174,10:48:44,D1,4.43,18.29
2009,174,10:55:37,D1,3.63,18.4
2009,174,10:59:50,D1,3.52,18.7
2009,174,11:43:59,60m,6.97,17.25
